               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098248,             0.02839,              0.0317,              0.3778,             0.42699,             0.35282,              0.1238,            0.070419,            0.024221,            0.017341,            0.070038,           0.0033291,           0.0033291
                   1,            0.068725,             0.02084,            0.013709,              0.5394,             0.64477,             0.57984,             0.23761,             0.05595,            0.021569,           0.0091907,            0.039973,           0.0065964,           0.0065964
                   2,            0.061243,            0.018586,           0.0097777,             0.63249,               0.763,             0.74375,             0.32459,            0.051703,            0.020261,           0.0070918,           0.0098405,           0.0097978,           0.0097978
                   3,            0.053692,            0.017669,           0.0080057,             0.80248,             0.83355,             0.83979,             0.36532,            0.041631,            0.019001,            0.005801,            0.009703,            0.009703,            0.009703
                   4,            0.047393,            0.016727,           0.0069517,             0.84501,              0.8539,             0.87288,             0.43899,            0.039839,            0.018045,           0.0051933,            0.009703,            0.009703,            0.009703
                   5,            0.044199,             0.01587,           0.0061427,             0.90253,             0.89189,             0.92488,             0.49433,            0.035499,            0.017613,           0.0046379,            0.009604,            0.009604,            0.009604
                   6,              0.0416,            0.015647,           0.0056824,             0.87977,             0.87607,             0.88963,             0.49587,             0.03492,            0.016896,           0.0043242,            0.009505,            0.009505,            0.009505
                   7,            0.039825,            0.015196,           0.0055698,             0.90387,             0.91041,             0.93149,             0.51003,             0.03435,            0.016889,           0.0044131,            0.009406,            0.009406,            0.009406
                   8,            0.039447,            0.014768,           0.0054937,             0.90604,             0.92081,             0.93554,             0.53333,            0.032051,            0.016628,           0.0040557,            0.009307,            0.009307,            0.009307
                   9,            0.037792,            0.014481,           0.0050988,             0.91375,             0.90248,             0.93155,             0.53605,            0.031466,             0.01621,           0.0041075,            0.009208,            0.009208,            0.009208
                  10,            0.036722,            0.014718,           0.0052469,             0.91707,              0.9159,              0.9365,             0.56453,            0.029898,            0.015756,           0.0037013,            0.009109,            0.009109,            0.009109
                  11,            0.035956,            0.014206,           0.0048808,             0.93082,             0.92437,             0.95392,             0.57002,            0.030072,            0.015765,           0.0035639,             0.00901,             0.00901,             0.00901
                  12,            0.035246,            0.014378,           0.0047949,             0.91225,             0.93964,             0.94641,             0.56612,            0.029435,            0.015644,            0.003435,            0.008911,            0.008911,            0.008911
                  13,            0.033884,            0.014057,           0.0044481,             0.91979,             0.94226,             0.94539,             0.57962,            0.029053,             0.01548,           0.0033989,            0.008812,            0.008812,            0.008812
                  14,            0.033576,            0.013979,           0.0044067,             0.91883,             0.93113,             0.95039,             0.59402,             0.02797,            0.015257,           0.0032727,            0.008713,            0.008713,            0.008713
                  15,              0.0332,            0.013751,           0.0043243,             0.91345,             0.95186,             0.96003,             0.59711,            0.028356,            0.015199,           0.0031875,            0.008614,            0.008614,            0.008614
