               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1077,            0.030769,            0.035835,              0.1336,             0.19401,              0.1258,            0.036565,            0.092427,            0.026555,            0.022657,            0.070077,           0.0033248,           0.0033248
                   1,            0.082611,            0.022321,            0.018124,             0.29485,             0.52707,             0.28165,            0.080949,             0.07512,            0.022306,            0.013198,            0.040011,           0.0065922,           0.0065922
                   2,            0.072791,            0.020712,            0.012922,             0.36681,             0.60855,             0.40261,             0.12063,            0.068582,            0.021277,           0.0096097,           0.0098791,           0.0097936,           0.0097936
                   3,            0.064719,             0.01878,            0.010356,             0.65243,             0.69037,             0.69705,             0.29761,            0.050626,            0.020516,           0.0074321,            0.009703,            0.009703,            0.009703
                   4,              0.0566,            0.017861,           0.0086983,             0.71351,              0.7601,             0.71423,             0.28807,            0.050738,            0.019475,           0.0064655,            0.009703,            0.009703,            0.009703
                   5,            0.051644,            0.017137,           0.0077108,               0.839,             0.79339,             0.81971,             0.37291,            0.042959,            0.018854,           0.0057205,            0.009604,            0.009604,            0.009604
                   6,            0.048869,            0.016551,           0.0069584,             0.86847,             0.83607,             0.86705,             0.38165,             0.04184,            0.018214,            0.005622,            0.009505,            0.009505,            0.009505
                   7,            0.046343,            0.016596,            0.006893,             0.88479,             0.85401,             0.88459,              0.4542,            0.035984,            0.018112,           0.0053718,            0.009406,            0.009406,            0.009406
                   8,            0.043981,            0.016317,           0.0062866,             0.88848,             0.86782,             0.90172,             0.44192,            0.037208,            0.018205,           0.0050016,            0.009307,            0.009307,            0.009307
                   9,            0.042693,            0.015715,           0.0059525,             0.87104,             0.89136,             0.89425,             0.45069,            0.036776,            0.017604,           0.0047963,            0.009208,            0.009208,            0.009208
                  10,             0.04169,            0.016017,            0.005744,              0.8929,             0.90962,             0.93222,             0.51863,            0.035952,            0.017326,           0.0044836,            0.009109,            0.009109,            0.009109
